N,E_MAD,std_MAD
10,0.07569957168395938,0.018901671459406327
15,0.06094537033576621,0.015833056400941112
20,0.05212842662359885,0.014007068080446793
25,0.04728010909468019,0.012674629469111617
30,0.04306867149728793,0.011559866680795249
40,0.036877053627898886,0.010301205697388304
50,0.033207386070946934,0.009027737139056321
75,0.02709590033151112,0.007354800045750749
100,0.023638570520771902,0.006487300763734148
150,0.01909967304651231,0.0053188471980126
200,0.016630651682226816,0.004624444004305852
300,0.013623780858211615,0.003728887743415135
500,0.010476189336294945,0.0029575474978023437
1000,0.007419472433240457,0.00203402741470799
